file_id,canonical_path,family_id,path_ids,as_oracle_association_ids,as_schedule_association_ids,oracle_test_case_ids,schedule_test_case_ids,mpp_xml_pair_ids,equivalence_class_ids,repository_item_ids
F0041,ref1/.mpp test files/Hard_File/Hard_File_missing_logic.xlsx,FAM003,P0122,A0066,,TC-F0041,,,,
F0042,ref1/.mpp test files/Hard_File/Hard_File_Path_Trace_UID_155_Directional_Path_Analysis_2026-7-8-13-30-7.xlsx,FAM003,P0123,A0067,,TC-F0042,,,,
F0043,ref1/.mpp test files/Hard_File/Hard_File_Path_Updated_Trace_UID_155_Directional_Path_Analysis_2026-7-8-13-30-7.xlsx,FAM003,P0124,A0068,,TC-F0043,,,,
F0044,ref1/.mpp test files/Hard_File/Hard_File_update vs update2_Fuse - Analysis Report.xlsx,FAM003,P0125,A0069|A0070,,TC-F0044,,,,
F0045,ref1/.mpp test files/Hard_File/Hard_File_update vs update2_Fuse - Detailed Metric Report.xlsx,FAM003,P0126,A0071|A0072,,TC-F0045,,,,
F0046,ref1/.mpp test files/Hard_File/Hard_File_update vs update2_Fuse - Excel .xlsx,FAM003,P0127,A0073|A0074,,TC-F0046,,,,
F0047,ref1/.mpp test files/Hard_File/Hard_File_update vs update2_Fuse - Metric History Report.xlsx,FAM003,P0128,A0075|A0076,,TC-F0047,,,,
F0048,ref1/.mpp test files/Hard_File/Hard_File_update vs update2_Fuse - Summary Report.xlsx,FAM003,P0129,A0077|A0078,,TC-F0048,,,,
F0049,ref1/.mpp test files/Hard_File/Hard_File_update vs update2_Fuse.afw,FAM003,P0130,A0079|A0080,,TC-F0049,,,,
F0050,ref1/.mpp test files/Hard_File/Hard_File_update2 vs update3_Fuse - Analysis Report.xlsx,FAM003,P0131,A0081|A0082,,TC-F0050,,,,
F0051,ref1/.mpp test files/Hard_File/Hard_File_update2 vs update3_Fuse - Detailed Metric Report.xlsx,FAM003,P0132,A0083|A0084,,TC-F0051,,,,
F0052,ref1/.mpp test files/Hard_File/Hard_File_update2 vs update3_Fuse - Excel .xlsx,FAM003,P0133,A0085|A0086,,TC-F0052,,,,
F0053,ref1/.mpp test files/Hard_File/Hard_File_update2 vs update3_Fuse - Metric History Report.xlsx,FAM003,P0134,A0087|A0088,,TC-F0053,,,,
F0054,ref1/.mpp test files/Hard_File/Hard_File_update2 vs update3_Fuse - Metrics Report.xlsx,FAM003,P0135,A0089|A0090,,TC-F0054,,,,
F0055,ref1/.mpp test files/Hard_File/Hard_File_update2 vs update3_Fuse - Summary Metrics Report.xlsx,FAM003,P0136,A0091|A0092,,TC-F0055,,,,
F0056,ref1/.mpp test files/Hard_File/Hard_File_update2 vs update3_Fuse.afw,FAM003,P0137,A0093|A0094,,TC-F0056,,,,
F0057,ref1/.mpp test files/Hard_File/Hard_File_updated vs update 2_ Forensic Analysis Report.xlsx,FAM003,P0138,A0095|A0096,,TC-F0057,,,,
F0058,ref1/.mpp test files/Hard_File/Hard_File_updated.mpp,FAM003,P0139,,A0059|A0061|A0063|A0065|A0068|A0069|A0071|A0073|A0075|A0077|A0079|A0095|A0099|A0139|A0141,,TC-F0037|TC-F0038|TC-F0039|TC-F0040|TC-F0043|TC-F0044|TC-F0045|TC-F0046|TC-F0047|TC-F0048|TC-F0049|TC-F0057|TC-F0064|TC-F0139|TC-F0140,,,
